"","SRR33445252","SRR33445253","SRR33445254","SRR33445260","SRR33445261","SRR33445262"
"ENSMUSG00000059248.13",2319.1090598921,1619.82191760884,2811.25975362653,2014.88257544123,1718.76089777185,2387.24215623199
"ENSMUSG00000059263.9",2013.19985607719,2522.20491298425,2100.87662404032,2230.41420913493,2359.67687967982,2067.49804755582
"ENSMUSG00000059273.9",997.637242214371,858.648560862714,811.362938869543,1166.57561746117,1179.5229162274,897.004421878396
"ENSMUSG00000059278.9",304.218288002794,383.290923606306,298.010627276081,359.882091717419,467.142714173825,383.399145067436
"ENSMUSG00000059288.14",124.064065895488,169.295379991087,104.848479008991,182.489442709326,178.618277991743,133.313226016216
"ENSMUSG00000059291.15",5131.26933136026,5950.61666956551,5188.12342041881,5953.79309590182,5812.83362486644,5776.23368922553
"ENSMUSG00000059316.2",1070.33577645842,1075.5074835924,842.743590666228,960.687335676141,1040.25935247768,1010.75570577328
"ENSMUSG00000059323.14",44.6449710208321,82.8562828157158,53.1613804715297,20.7459183818673,30.8410374430279,56.6673900926884
"ENSMUSG00000059325.14",1009.48601595183,1408.54279072442,645.439504630164,801.89492057395,620.517028877272,453.261434378519
"ENSMUSG00000059326.7",207.229724005708,169.498927057736,172.480465579521,232.412850348409,178.8115788695,146.080869277699
"ENSMUSG00000059327.9",23.2417125617556,9.3142359267093,152.559999828638,52.9837334227714,75.94678583203,39.7065461562642
"ENSMUSG00000059355.13",730.449893118138,521.860142679568,487.223337847664,557.208776083418,562.238637866764,627.394765624104
"ENSMUSG00000059363.10",371.735451541286,221.902985040863,223.321436607591,241.166973570318,261.358868822999,313.637654560786
"ENSMUSG00000059401.14",6.92276758364775,62.1689485111966,37.580340676045,27.9073323474257,55.1868295194565,22.0765267936731
"ENSMUSG00000059409.9",785.0592008952,1042.15231828462,832.695908198936,965.257005839945,917.628259137757,839.44469298647
"ENSMUSG00000059423.13",129.727411906799,53.410884355706,141.225541310575,147.278701108607,82.2610726933082,53.2950368539591
"ENSMUSG00000059434.9",2363.37697540887,2316.54102806539,2862.7017002578,3439.31231226531,3613.12040907703,3376.30067716014
"ENSMUSG00000059436.13",263.411692745178,694.634768891093,546.129665254703,483.548003888369,806.590713203715,476.131227984862
"ENSMUSG00000059439.15",911.7480648828,845.842098944573,493.03312055709,672.231156274554,599.014072732126,623.886198032
"ENSMUSG00000059447.13",4357.25989451922,3439.85775058827,4739.17147897959,3682.33141295514,3209.74125539195,2799.66103541493
"ENSMUSG00000059456.13",1705.48007449532,1364.76263709561,1359.86822143971,1376.89412567001,1446.29710302327,1590.14328549958
"ENSMUSG00000059461.7",12.7284537496442,8.69296061539303,0,10.176272224306,11.3878300340843,18.7102576327609
"ENSMUSG00000059474.13",256.311426360811,299.631947601015,347.524557393196,377.42766848801,631.212040252968,259.927938669667
"ENSMUSG00000059475.13",225.295772221279,105.999747330103,191.212692880169,199.393718620028,117.076543148743,153.805139710264
"ENSMUSG00000059479.7",36.4422984718476,20.1924383527142,95.5682966411761,52.3065710886598,24.5762750798049,59.5932524068062
"ENSMUSG00000059481.5",76675.501321538,81965.1651330988,78638.9133838358,85622.4251976448,88582.0141351309,106854.439714764
"ENSMUSG00000059482.15",80.6814970219395,45.2682259672768,86.4859095024601,91.0838803072279,33.6363636174144,77.8654989589682
"ENSMUSG00000059486.11",275.99691095251,341.776953524365,408.365815768068,516.807302483026,371.188541098668,429.766304825832
